id|annoId|alumnoid|colegioId|createdAt|updatedAt
1|4|1|1|2023-09-24|2023-09-24
2|4|2|1|2023-09-24|2023-09-24
3|4|3|1|2023-09-24|2023-09-24
4|4|4|1|2023-09-24|2023-09-24
5|4|5|1|2023-09-24|2023-09-24
6|4|6|1|2023-09-24|2023-09-24
7|4|7|1|2023-09-24|2023-09-24
8|4|8|1|2023-09-24|2023-09-24
9|4|9|1|2023-09-24|2023-09-24
10|4|10|1|2023-09-24|2023-09-24
11|4|11|1|2023-09-24|2023-09-24
12|4|12|1|2023-09-24|2023-09-24
13|4|13|1|2023-09-24|2023-09-24
14|4|14|1|2023-09-24|2023-09-24
15|4|15|1|2023-09-24|2023-09-24
16|4|16|1|2023-09-24|2023-09-24
17|4|17|1|2023-09-24|2023-09-24
18|4|18|1|2023-09-24|2023-09-24
19|4|19|1|2023-09-24|2023-09-24
20|4|20|1|2023-09-24|2023-09-24
21|4|21|1|2023-09-24|2023-09-24
22|4|22|1|2023-09-24|2023-09-24
23|4|23|1|2023-09-24|2023-09-24
24|4|24|1|2023-09-24|2023-09-24
25|4|25|1|2023-09-24|2023-09-24
26|4|26|1|2023-09-24|2023-09-24
27|4|27|1|2023-09-24|2023-09-24
28|4|28|1|2023-09-24|2023-09-24
29|4|29|1|2023-09-24|2023-09-24
30|4|30|1|2023-09-24|2023-09-24
31|4|31|1|2023-09-24|2023-09-24
32|4|32|1|2023-09-24|2023-09-24
33|4|33|1|2023-09-24|2023-09-24
34|4|34|1|2023-09-24|2023-09-24
35|4|35|1|2023-09-24|2023-09-24
36|4|36|1|2023-09-24|2023-09-24
37|4|37|1|2023-09-24|2023-09-24
38|4|38|1|2023-09-24|2023-09-24
39|4|39|1|2023-09-24|2023-09-24
40|4|40|1|2023-09-24|2023-09-24
41|4|41|1|2023-09-24|2023-09-24
42|4|42|1|2023-09-24|2023-09-24
43|4|43|1|2023-09-24|2023-09-24
44|4|44|1|2023-09-24|2023-09-24
45|4|45|1|2023-09-24|2023-09-24
46|4|46|1|2023-09-24|2023-09-24
47|4|47|1|2023-09-24|2023-09-24
