id|fecha|presente|dia|matriculaId|colegioId|cursoId|alumnoId|annoId|mesId|createdAt|updatedAt
1|2023-09-01|t|1|451|1|19|451|4|3|2023-09-24|2023-09-24
2|2023-09-01|t|1|452|1|19|452|4|3|2023-09-24|2023-09-24
3|2023-09-01|t|1|453|1|19|453|4|3|2023-09-24|2023-09-24
4|2023-09-01|t|1|454|1|19|454|4|3|2023-09-24|2023-09-24
5|2023-09-01|t|1|455|1|19|455|4|3|2023-09-24|2023-09-24
6|2023-09-01|t|1|456|1|19|456|4|3|2023-09-24|2023-09-24
7|2023-09-01|t|1|457|1|19|457|4|3|2023-09-24|2023-09-24
8|2023-09-01|t|1|458|1|19|458|4|3|2023-09-24|2023-09-24
9|2023-09-01|t|1|459|1|19|459|4|3|2023-09-24|2023-09-24
10|2023-09-01|t|1|460|1|19|460|4|3|2023-09-24|2023-09-24
11|2023-09-01|t|1|461|1|19|461|4|3|2023-09-24|2023-09-24
12|2023-09-01|f|1|462|1|19|462|4|3|2023-09-24|2023-09-24
13|2023-09-01|t|1|463|1|19|463|4|3|2023-09-24|2023-09-24
14|2023-09-01|t|1|464|1|19|464|4|3|2023-09-24|2023-09-24
15|2023-09-01|t|1|465|1|19|465|4|3|2023-09-24|2023-09-24
16|2023-09-01|t|1|466|1|19|466|4|3|2023-09-24|2023-09-24
17|2023-09-01|t|1|467|1|19|467|4|3|2023-09-24|2023-09-24
18|2023-09-01|t|1|468|1|19|468|4|3|2023-09-24|2023-09-24
19|2023-09-01|t|1|469|1|19|469|4|3|2023-09-24|2023-09-24
20|2023-09-01|t|1|470|1|19|470|4|3|2023-09-24|2023-09-24
21|2023-09-01|t|1|471|1|19|471|4|3|2023-09-24|2023-09-24
22|2023-09-01|t|1|472|1|19|472|4|3|2023-09-24|2023-09-24
23|2023-09-01|t|1|473|1|19|473|4|3|2023-09-24|2023-09-24
24|2023-09-01|t|1|474|1|19|474|4|3|2023-09-24|2023-09-24
25|2023-09-01|t|1|475|1|19|475|4|3|2023-09-24|2023-09-24
26|2023-09-04|t|4|451|1|19|451|4|3|2023-09-24|2023-09-24
27|2023-09-04|t|4|452|1|19|452|4|3|2023-09-24|2023-09-24
28|2023-09-04|t|4|453|1|19|453|4|3|2023-09-24|2023-09-24
29|2023-09-04|t|4|454|1|19|454|4|3|2023-09-24|2023-09-24
30|2023-09-04|t|4|455|1|19|455|4|3|2023-09-24|2023-09-24
31|2023-09-04|t|4|456|1|19|456|4|3|2023-09-24|2023-09-24
32|2023-09-04|t|4|457|1|19|457|4|3|2023-09-24|2023-09-24
33|2023-09-04|t|4|458|1|19|458|4|3|2023-09-24|2023-09-24
34|2023-09-04|t|4|459|1|19|459|4|3|2023-09-24|2023-09-24
35|2023-09-04|t|4|460|1|19|460|4|3|2023-09-24|2023-09-24
36|2023-09-04|t|4|461|1|19|461|4|3|2023-09-24|2023-09-24
37|2023-09-04|t|4|462|1|19|462|4|3|2023-09-24|2023-09-24
38|2023-09-04|t|4|463|1|19|463|4|3|2023-09-24|2023-09-24
39|2023-09-04|t|4|464|1|19|464|4|3|2023-09-24|2023-09-24
40|2023-09-04|f|4|465|1|19|465|4|3|2023-09-24|2023-09-24
41|2023-09-04|t|4|466|1|19|466|4|3|2023-09-24|2023-09-24
42|2023-09-04|t|4|467|1|19|467|4|3|2023-09-24|2023-09-24
43|2023-09-04|t|4|468|1|19|468|4|3|2023-09-24|2023-09-24
44|2023-09-04|t|4|469|1|19|469|4|3|2023-09-24|2023-09-24
45|2023-09-04|t|4|470|1|19|470|4|3|2023-09-24|2023-09-24
46|2023-09-04|t|4|471|1|19|471|4|3|2023-09-24|2023-09-24
47|2023-09-04|t|4|472|1|19|472|4|3|2023-09-24|2023-09-24
48|2023-09-04|t|4|473|1|19|473|4|3|2023-09-24|2023-09-24
49|2023-09-04|t|4|474|1|19|474|4|3|2023-09-24|2023-09-24
50|2023-09-04|t|4|475|1|19|475|4|3|2023-09-24|2023-09-24
51|2023-09-05|t|5|451|1|19|451|4|3|2023-09-24|2023-09-24
52|2023-09-05|t|5|452|1|19|452|4|3|2023-09-24|2023-09-24
53|2023-09-05|t|5|453|1|19|453|4|3|2023-09-24|2023-09-24
54|2023-09-05|t|5|454|1|19|454|4|3|2023-09-24|2023-09-24
55|2023-09-05|t|5|455|1|19|455|4|3|2023-09-24|2023-09-24
56|2023-09-05|t|5|456|1|19|456|4|3|2023-09-24|2023-09-24
