fecha|presente|dia|matriculaId|colegioId|cursoId|alumnoId|annoId|mesId|createdAt|updatedAt
2023-09-01|t|1|451|1|19|451|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|452|1|19|452|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|453|1|19|453|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|454|1|19|454|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|455|1|19|455|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|456|1|19|456|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|457|1|19|457|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|458|1|19|458|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|459|1|19|459|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|460|1|19|460|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|461|1|19|461|3|9|2023-09-24|2023-09-24
2023-09-01|f|1|462|1|19|462|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|463|1|19|463|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|464|1|19|464|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|465|1|19|465|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|466|1|19|466|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|467|1|19|467|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|468|1|19|468|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|469|1|19|469|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|470|1|19|470|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|471|1|19|471|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|472|1|19|472|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|473|1|19|473|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|474|1|19|474|3|9|2023-09-24|2023-09-24
2023-09-01|t|1|475|1|19|475|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|451|1|19|451|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|452|1|19|452|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|453|1|19|453|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|454|1|19|454|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|455|1|19|455|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|456|1|19|456|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|457|1|19|457|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|458|1|19|458|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|459|1|19|459|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|460|1|19|460|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|461|1|19|461|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|462|1|19|462|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|463|1|19|463|3|9|2023-09-24|2023-09-24
2023-09-04|t|4|464|1|19|464|3|9|2023-09-24|2023-09-24
